"x","y","node"
"1",1.012,-0.0251315789473684,1
"2",0.98329660178159,-0.00758771929824561,2
"3",0.954923127680633,-0.0251315789473684,3
"4",0.926219729462224,-0.00758771929824561,4
"5",0.897846255361267,-0.0251315789473684,5
"6",0.869142857142857,-0.00758771929824561,6
"7",0.840439458924447,-0.0251315789473684,7
"8",0.812065984823491,-0.00758771929824561,8
"9",0.783362586605081,-0.0251315789473684,9
"10",0.754989112504124,-0.00758771929824561,10
"11",0.726285714285714,-0.0251315789473684,11
"12",0.697582316067305,-0.00758771929824561,12
"13",0.669208841966348,-0.0251315789473684,13
"14",0.640505443747938,-0.00758771929824561,14
"15",0.612131969646981,-0.0251315789473684,15
"16",0.583428571428572,-0.00758771929824561,16
"17",0.554725173210162,-0.0251315789473684,17
"18",0.526351699109205,-0.00758771929824561,18
"19",0.497648300890795,-0.0251315789473684,19
"20",0.469274826789838,-0.00758771929824561,20
"21",0.440571428571429,-0.0251315789473684,21
"22",0.411868030353019,-0.00758771929824561,22
"23",0.383494556252062,-0.0251315789473684,23
"24",0.354791158033652,-0.00758771929824561,24
"25",0.326417683932695,-0.0251315789473684,25
"26",0.297714285714286,-0.00758771929824561,26
"27",0.269010887495876,-0.0251315789473684,27
"28",0.240637413394919,-0.00758771929824561,28
"29",0.211934015176509,-0.0251315789473684,29
"30",0.183560541075553,-0.00758771929824561,30
"31",0.154857142857143,-0.0251315789473684,31
"32",0.126153744638733,-0.00758771929824561,32
"33",0.0977802705377762,-0.0251315789473684,33
"34",0.0690768723193666,-0.00758771929824561,34
"35",0.0407033982184097,-0.0251315789473684,35
"36",0.012,-0.00758771929824561,36
"37",1.012,-0.060219298245614,37
"38",0.98329660178159,-0.0777631578947368,38
"39",0.954923127680633,-0.060219298245614,39
"40",0.926219729462224,-0.0777631578947368,40
"41",0.897846255361267,-0.060219298245614,41
"42",0.869142857142857,-0.0777631578947368,42
"43",0.840439458924447,-0.060219298245614,43
"44",0.812065984823491,-0.0777631578947368,44
"45",0.783362586605081,-0.060219298245614,45
"46",0.754989112504124,-0.0777631578947368,46
"47",0.726285714285714,-0.060219298245614,47
"48",0.697582316067305,-0.0777631578947368,48
"49",0.669208841966348,-0.060219298245614,49
"50",0.640505443747938,-0.0777631578947368,50
"51",0.612131969646981,-0.060219298245614,51
"52",0.583428571428572,-0.0777631578947368,52
"53",0.554725173210162,-0.060219298245614,53
"54",0.526351699109205,-0.0777631578947368,54
"55",0.497648300890795,-0.060219298245614,55
"56",0.469274826789838,-0.0777631578947368,56
"57",0.440571428571429,-0.060219298245614,57
"58",0.411868030353019,-0.0777631578947368,58
"59",0.383494556252062,-0.060219298245614,59
"60",0.354791158033652,-0.0777631578947368,60
"61",0.326417683932695,-0.060219298245614,61
"62",0.297714285714286,-0.0777631578947368,62
"63",0.269010887495876,-0.060219298245614,63
"64",0.240637413394919,-0.0777631578947368,64
"65",0.211934015176509,-0.060219298245614,65
"66",0.183560541075553,-0.0777631578947368,66
"67",0.154857142857143,-0.060219298245614,67
"68",0.126153744638733,-0.0777631578947368,68
"69",0.0977802705377762,-0.060219298245614,69
"70",0.0690768723193666,-0.0777631578947368,70
"71",0.0407033982184097,-0.060219298245614,71
"72",0.012,-0.0777631578947368,72
"73",1.012,-0.130394736842105,73
"74",0.98329660178159,-0.112850877192982,74
"75",0.954923127680633,-0.130394736842105,75
"76",0.926219729462224,-0.112850877192982,76
"77",0.897846255361267,-0.130394736842105,77
"78",0.869142857142857,-0.112850877192982,78
"79",0.840439458924447,-0.130394736842105,79
"80",0.812065984823491,-0.112850877192982,80
"81",0.783362586605081,-0.130394736842105,81
"82",0.754989112504124,-0.112850877192982,82
"83",0.726285714285714,-0.130394736842105,83
"84",0.697582316067305,-0.112850877192982,84
"85",0.669208841966348,-0.130394736842105,85
"86",0.640505443747938,-0.112850877192982,86
"87",0.612131969646981,-0.130394736842105,87
"88",0.583428571428572,-0.112850877192982,88
"89",0.554725173210162,-0.130394736842105,89
"90",0.526351699109205,-0.112850877192982,90
"91",0.497648300890795,-0.130394736842105,91
"92",0.469274826789838,-0.112850877192982,92
"93",0.440571428571429,-0.130394736842105,93
"94",0.411868030353019,-0.112850877192982,94
"95",0.383494556252062,-0.130394736842105,95
"96",0.354791158033652,-0.112850877192982,96
"97",0.326417683932695,-0.130394736842105,97
"98",0.297714285714286,-0.112850877192982,98
"99",0.269010887495876,-0.130394736842105,99
"100",0.240637413394919,-0.112850877192982,100
"101",0.211934015176509,-0.130394736842105,101
"102",0.183560541075553,-0.112850877192982,102
"103",0.154857142857143,-0.130394736842105,103
"104",0.126153744638733,-0.112850877192982,104
"105",0.0977802705377762,-0.130394736842105,105
"106",0.0690768723193666,-0.112850877192982,106
"107",0.0407033982184097,-0.130394736842105,107
"108",0.012,-0.112850877192982,108
"109",1.012,-0.165482456140351,109
"110",0.98329660178159,-0.183026315789474,110
"111",0.954923127680633,-0.165482456140351,111
"112",0.926219729462224,-0.183026315789474,112
"113",0.897846255361267,-0.165482456140351,113
"114",0.869142857142857,-0.183026315789474,114
"115",0.840439458924447,-0.165482456140351,115
"116",0.812065984823491,-0.183026315789474,116
"117",0.783362586605081,-0.165482456140351,117
"118",0.754989112504124,-0.183026315789474,118
"119",0.726285714285714,-0.165482456140351,119
"120",0.697582316067305,-0.183026315789474,120
"121",0.669208841966348,-0.165482456140351,121
"122",0.640505443747938,-0.183026315789474,122
"123",0.612131969646981,-0.165482456140351,123
"124",0.583428571428572,-0.183026315789474,124
"125",0.554725173210162,-0.165482456140351,125
