"x","y","node_label","node"
-5.2,6.5,168,"(4, 6)"
-6.06,6,169,"(4, 7)"
-6.93,6.5,170,"(4, 8)"
-7.79,6,171,"(4, 9)"
-8.66,6.5,172,"(4, 10)"
-9.53,6,173,"(4, 11)"
-10.39,6.5,174,"(4, 12)"
-11.26,6,175,"(4, 13)"
-12.12,6.5,176,"(4, 14)"
-12.99,6,177,"(4, 15)"
-13.86,6.5,178,"(4, 16)"
-14.72,6,179,"(4, 17)"
-15.59,6.5,180,"(4, 18)"
-16.45,6,181,"(4, 19)"
-17.32,6.5,182,"(4, 20)"
-18.19,6,183,"(4, 21)"
-19.05,6.5,184,"(4, 22)"
-19.92,6,185,"(4, 23)"
-20.78,6.5,186,"(4, 24)"
-21.65,6,187,"(4, 25)"
-22.52,6.5,188,"(4, 26)"
-23.38,6,189,"(4, 27)"
-24.25,6.5,190,"(4, 28)"
-25.11,6,191,"(4, 29)"
-25.98,6.5,192,"(4, 30)"
-26.85,6,193,"(4, 31)"
-27.71,6.5,194,"(4, 32)"
-28.58,6,195,"(4, 33)"
-29.44,6.5,196,"(4, 34)"
-30.31,6,197,"(4, 35)"
-31.18,6.5,198,"(4, 36)"
-32.04,6,199,"(4, 37)"
-32.91,6.5,200,"(4, 38)"
-33.77,6,201,"(4, 39)"
-34.64,6.5,202,"(4, 40)"
-35.51,6,203,"(4, 41)"
-36.37,6.5,204,"(4, 42)"
-37.24,6,205,"(4, 43)"
-38.11,6.5,206,"(4, 44)"
-38.97,6,207,"(4, 45)"
0,7.5,208,"(5, 0)"
-0.87,8,209,"(5, 1)"
-1.73,7.5,210,"(5, 2)"
-2.6,8,211,"(5, 3)"
-3.46,7.5,212,"(5, 4)"
-4.33,8,213,"(5, 5)"
-5.2,7.5,214,"(5, 6)"
-6.06,8,215,"(5, 7)"
-6.93,7.5,216,"(5, 8)"
-7.79,8,217,"(5, 9)"
-8.66,7.5,218,"(5, 10)"
-9.53,8,219,"(5, 11)"
-10.39,7.5,220,"(5, 12)"
-11.26,8,221,"(5, 13)"
-12.12,7.5,222,"(5, 14)"
-12.99,8,223,"(5, 15)"
-13.86,7.5,224,"(5, 16)"
-14.72,8,225,"(5, 17)"
-15.59,7.5,226,"(5, 18)"
-16.45,8,227,"(5, 19)"
-17.32,7.5,228,"(5, 20)"
-18.19,8,229,"(5, 21)"
-19.05,7.5,230,"(5, 22)"
-19.92,8,231,"(5, 23)"
-20.78,7.5,232,"(5, 24)"
-21.65,8,233,"(5, 25)"
-22.52,7.5,234,"(5, 26)"
-23.38,8,235,"(5, 27)"
-24.25,7.5,236,"(5, 28)"
-25.11,8,237,"(5, 29)"
-25.98,7.5,238,"(5, 30)"
-26.85,8,239,"(5, 31)"
-27.71,7.5,240,"(5, 32)"
-28.58,8,241,"(5, 33)"
-29.44,7.5,242,"(5, 34)"
-30.31,8,243,"(5, 35)"
-31.18,7.5,244,"(5, 36)"
-32.04,8,245,"(5, 37)"
-32.91,7.5,246,"(5, 38)"
-33.77,8,247,"(5, 39)"
-34.64,7.5,248,"(5, 40)"
-35.51,8,249,"(5, 41)"
-36.37,7.5,250,"(5, 42)"
-37.24,8,251,"(5, 43)"
-38.11,7.5,252,"(5, 44)"
-38.97,8,253,"(5, 45)"
0,9.5,254,"(6, 0)"
-0.87,9,255,"(6, 1)"
-1.73,9.5,256,"(6, 2)"
-2.6,9,257,"(6, 3)"
-3.46,9.5,258,"(6, 4)"
-4.33,9,259,"(6, 5)"
-5.2,9.5,260,"(6, 6)"
-6.06,9,261,"(6, 7)"
-6.93,9.5,262,"(6, 8)"
-7.79,9,263,"(6, 9)"
-8.66,9.5,264,"(6, 10)"
-9.53,9,265,"(6, 11)"
-10.39,9.5,266,"(6, 12)"
-11.26,9,267,"(6, 13)"
-12.12,9.5,268,"(6, 14)"
-12.99,9,269,"(6, 15)"
-13.86,9.5,270,"(6, 16)"
