"x","y"
"284",457.08,1090
"285",457.08,1140
"286",457.08,1240
"287",457.08,1290
"288",457.08,1390
"289",457.08,1440
"290",457.08,1540
"291",457.08,1590
"292",457.08,1690
"293",457.08,1740
"294",457.08,1840
"295",457.08,1890
"296",457.08,1990
"297",500.38,15
"298",500.38,115
"299",500.38,165
"300",500.38,265
"301",500.38,315
"302",500.38,415
"303",500.38,465
"304",500.38,565
"305",500.38,615
"306",500.38,715
"307",500.38,765
"308",500.38,865
"309",500.38,915
"310",500.38,1015
"311",500.38,1065
"312",500.38,1165
"313",500.38,1215
"314",500.38,1315
"315",500.38,1365
"316",500.38,1465
"317",500.38,1515
"318",500.38,1615
"319",500.38,1665
"320",500.38,1765
"321",500.38,1815
"322",500.38,1915
"323",500.38,1965
"324",543.69,40
"325",543.69,90
"326",543.69,190
"327",543.69,240
"328",543.69,340
"329",543.69,390
"330",543.69,490
"331",543.69,540
"332",543.69,640
"333",543.69,690
"334",543.69,790
"335",543.69,840
"336",543.69,940
"337",543.69,990
"338",543.69,1090
"339",543.69,1140
"340",543.69,1240
"341",543.69,1290
"342",543.69,1390
"343",543.69,1440
"344",543.69,1540
"345",543.69,1590
"346",543.69,1690
"347",543.69,1740
"348",543.69,1840
"349",543.69,1890
"350",543.69,1990
"351",586.99,15
"352",586.99,115
"353",586.99,165
"354",586.99,265
"355",586.99,315
"356",586.99,415
"357",586.99,465
"358",586.99,565
"359",586.99,615
"360",586.99,715
"361",586.99,765
"362",586.99,865
"363",586.99,915
"364",586.99,1015
"365",586.99,1065
"366",586.99,1165
"367",586.99,1215
"368",586.99,1315
"369",586.99,1365
"370",586.99,1465
"371",586.99,1515
"372",586.99,1615
"373",586.99,1665
"374",586.99,1765
"375",586.99,1815
"376",586.99,1915
"377",586.99,1965
"378",630.29,40
"379",630.29,90
"380",630.29,190
"381",630.29,240
"382",630.29,340
"383",630.29,390
"384",630.29,490
"385",630.29,540
"386",630.29,640
"387",630.29,690
"388",630.29,790
"389",630.29,840
"390",630.29,940
"391",630.29,990
"392",630.29,1090
"393",630.29,1140
"394",630.29,1240
"395",630.29,1290
"396",630.29,1390
"397",630.29,1440
"398",630.29,1540
"399",630.29,1590
"400",630.29,1690
"401",630.29,1740
"402",630.29,1840
"403",630.29,1890
"404",630.29,1990
"405",673.59,15
"406",673.59,115
"407",673.59,165
"408",673.59,265
"409",673.59,315
"410",673.59,415
"411",673.59,465
"412",673.59,565
"413",673.59,615
"414",673.59,715
"415",673.59,765
"416",673.59,865
"417",673.59,915
"418",673.59,1015
"419",673.59,1065
"420",673.59,1165
"421",673.59,1215
"422",673.59,1315
"423",673.59,1365
"424",673.59,1465
"425",673.59,1515
"426",673.59,1615
"427",673.59,1665
"428",673.59,1765
"429",673.59,1815
"430",673.59,1915
"431",673.59,1965
"432",716.89,40
"433",716.89,90
"434",716.89,190
"435",716.89,240
"436",716.89,340
"437",716.89,390
"438",716.89,490
"439",716.89,540
"440",716.89,640
"441",716.89,690
"442",716.89,790
"443",716.89,840
"444",716.89,940
"445",716.89,990
"446",716.89,1090
"447",716.89,1140
"448",716.89,1240
"449",716.89,1290
