x,y,node
-13.86,6.5,"(4, 16)"
-14.72,6.0,"(4, 17)"
-15.59,6.5,"(4, 18)"
-16.45,6.0,"(4, 19)"
-17.32,6.5,"(4, 20)"
-18.19,6.0,"(4, 21)"
-19.05,6.5,"(4, 22)"
-19.92,6.0,"(4, 23)"
-20.78,6.5,"(4, 24)"
-21.65,6.0,"(4, 25)"
-22.52,6.5,"(4, 26)"
-23.38,6.0,"(4, 27)"
-24.25,6.5,"(4, 28)"
-25.11,6.0,"(4, 29)"
-25.98,6.5,"(4, 30)"
-26.85,6.0,"(4, 31)"
-27.71,6.5,"(4, 32)"
-28.58,6.0,"(4, 33)"
-29.44,6.5,"(4, 34)"
-30.31,6.0,"(4, 35)"
-31.18,6.5,"(4, 36)"
-32.04,6.0,"(4, 37)"
-32.91,6.5,"(4, 38)"
-33.77,6.0,"(4, 39)"
-34.64,6.5,"(4, 40)"
-35.51,6.0,"(4, 41)"
-36.37,6.5,"(4, 42)"
-37.24,6.0,"(4, 43)"
-38.11,6.5,"(4, 44)"
-38.97,6.0,"(4, 45)"
0.0,7.5,"(5, 0)"
-0.87,8.0,"(5, 1)"
-1.73,7.5,"(5, 2)"
-2.6,8.0,"(5, 3)"
-3.46,7.5,"(5, 4)"
-4.33,8.0,"(5, 5)"
-5.2,7.5,"(5, 6)"
-6.06,8.0,"(5, 7)"
-6.93,7.5,"(5, 8)"
-7.79,8.0,"(5, 9)"
-8.66,7.5,"(5, 10)"
-9.53,8.0,"(5, 11)"
-10.39,7.5,"(5, 12)"
-11.26,8.0,"(5, 13)"
-12.12,7.5,"(5, 14)"
-12.99,8.0,"(5, 15)"
-13.86,7.5,"(5, 16)"
-14.72,8.0,"(5, 17)"
-15.59,7.5,"(5, 18)"
-16.45,8.0,"(5, 19)"
-17.32,7.5,"(5, 20)"
-18.19,8.0,"(5, 21)"
-19.05,7.5,"(5, 22)"
-19.92,8.0,"(5, 23)"
-20.78,7.5,"(5, 24)"
-21.65,8.0,"(5, 25)"
-22.52,7.5,"(5, 26)"
-23.38,8.0,"(5, 27)"
-24.25,7.5,"(5, 28)"
-25.11,8.0,"(5, 29)"
-25.98,7.5,"(5, 30)"
-26.85,8.0,"(5, 31)"
-27.71,7.5,"(5, 32)"
-28.58,8.0,"(5, 33)"
-29.44,7.5,"(5, 34)"
-30.31,8.0,"(5, 35)"
-31.18,7.5,"(5, 36)"
-32.04,8.0,"(5, 37)"
-32.91,7.5,"(5, 38)"
-33.77,8.0,"(5, 39)"
-34.64,7.5,"(5, 40)"
-35.51,8.0,"(5, 41)"
-36.37,7.5,"(5, 42)"
-37.24,8.0,"(5, 43)"
-38.11,7.5,"(5, 44)"
-38.97,8.0,"(5, 45)"
0.0,9.5,"(6, 0)"
-0.87,9.0,"(6, 1)"
-1.73,9.5,"(6, 2)"
-2.6,9.0,"(6, 3)"
-3.46,9.5,"(6, 4)"
-4.33,9.0,"(6, 5)"
-5.2,9.5,"(6, 6)"
-6.06,9.0,"(6, 7)"
-6.93,9.5,"(6, 8)"
-7.79,9.0,"(6, 9)"
-8.66,9.5,"(6, 10)"
-9.53,9.0,"(6, 11)"
-10.39,9.5,"(6, 12)"
-11.26,9.0,"(6, 13)"
-12.12,9.5,"(6, 14)"
-12.99,9.0,"(6, 15)"
-13.86,9.5,"(6, 16)"
-14.72,9.0,"(6, 17)"
